Model parameter,Values,Best Score
bootstrap,True,0.0
max_depth,25,0.0
max_features,auto,0.0
max_leaf_nodes,,0.0
min_impurity_decrease,0.1,0.0
min_impurity_split,,0.0
min_samples_leaf,1,0.0
min_samples_split,3,0.0
min_weight_fraction_leaf,0.3,0.0
n_estimators,10,0.0
n_jobs,1,0.0
oob_score,False,0.0
random_state,123,0.0
verbose,0,0.0
warm_start,False,0.0
